hari,tanggal,time WITA,sport,competition,title,home,away,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,channel_8,event_url
"Jumat","20-03-2026","08:0","Ice-Hockey","NHL","Seattle-Kraken vs Nashville-Predators","Seattle-Kraken","Nashville-Predators","NHL.TV","","","","","","","",""
"Jumat","20-03-2026","08:0","Basketball","NBA","Miami-Heat vs Los-Angeles-Lakers","Miami-Heat","Los-Angeles-Lakers","NBA League Pass","","","","","","","",""
"Jumat","20-03-2026","08:0","Basketball","NBA","Chicago-Bulls vs Cleveland-Cavaliers","Chicago-Bulls","Cleveland-Cavaliers","NBA League Pass","","","","","","","",""
"Jumat","20-03-2026","08:0","Basketball","NBA","New-Orleans-Pelicans vs Los-Angeles-Clippers","New-Orleans-Pelicans","Los-Angeles-Clippers","NBA League Pass","","","","","","","",""
"Jumat","20-03-2026","08:0","Basketball","NBA","San-Antonio-Spurs vs Phoenix-Suns","San-Antonio-Spurs","Phoenix-Suns","NBA League Pass","","","","","","","",""
"Jumat","20-03-2026","09:0","Football","","Tigres-UANL vs FC-Cincinnati","Tigres-UANL","FC-Cincinnati","YouTube","","","","","","","",""
"Jumat","20-03-2026","09:0","Ice-Hockey","NHL","Florida-Panthers vs Edmonton-Oilers","Florida-Panthers","Edmonton-Oilers","Premier Sports 1","","","","","","","",""
"Jumat","20-03-2026","09:0","Basketball","NBA","Utah-Jazz vs Milwaukee-Bucks","Utah-Jazz","Milwaukee-Bucks","NBA League Pass","","","","","","","",""
"Jumat","20-03-2026","09:45","Cricket","","New-Zealand-Women vs South-Africa-Women","New-Zealand-Women","South-Africa-Women","TNT Sports 2","Discovery+ Premium","","","","","","",""
"Jumat","20-03-2026","10:0","Ice-Hockey","NHL","Buffalo-Sabres vs San-Jose-Sharks","Buffalo-Sabres","San-Jose-Sharks","NHL.TV","","","","","","","",""
"Jumat","20-03-2026","10:0","Ice-Hockey","NHL","Utah-Mammoth vs Vegas-Golden-Knights","Utah-Mammoth","Vegas-Golden-Knights","NHL.TV","","","","","","","",""
"Jumat","20-03-2026","10:0","Ice-Hockey","NHL","Tampa-Bay-Lightning vs Vancouver-Canucks","Tampa-Bay-Lightning","Vancouver-Canucks","NHL.TV","","","","","","","",""
"Jumat","20-03-2026","10:0","Basketball","NBA","Sacramento-Kings vs Philadelphia-76ers","Sacramento-Kings","Philadelphia-76ers","NBA League Pass","","","","","","","",""
"Jumat","20-03-2026","10:30","Ice-Hockey","NHL","Philadelphia-Flyers vs Los-Angeles-Kings","Philadelphia-Flyers","Los-Angeles-Kings","NHL.TV","","","","","","","",""
